Backward Citation Ages.  ,,,,,,,,
Means and percentiles are presented in Supplementary Figure 1D. ,,,,,,,,
The predicted values and their standard errors are presented in Figures 2-4.,,,,,,,,
field,year,mean,median,p25,p75,,Predicted,se
Chemistry,1958,0.0575225,0.264036,-0.403621,0.7090964,,0.3304868,0.0188195
Chemistry,1959,0.0681374,-0.1358337,-0.6285825,0.9756265,,0.3375626,0.0189907
Chemistry,1960,0.023011,0.0743632,-0.5123279,0.6607229,,0.344637,0.0191798
Chemistry,1961,0.2561337,0.2593009,-0.3227172,0.9921413,,0.3517057,0.0193833
Chemistry,1962,0.2642358,0.2401933,-0.3356319,0.7343633,,0.3587642,0.0195974
Chemistry,1963,-0.002732,-0.0401303,-0.5707591,0.4281027,,0.365808,0.0198184
Chemistry,1964,0.1064214,-0.0327574,-0.4338472,0.6680611,,0.3728327,0.0200421
Chemistry,1965,0.2011343,0.1420755,-0.4151356,0.8371648,,0.3798338,0.0202648
Chemistry,1966,0.21302,0.1745434,-0.4391874,0.8125246,,0.3868067,0.0204825
Chemistry,1967,0.0686032,-0.0628585,-0.5942411,0.5543652,,0.393747,0.0206914
Chemistry,1968,0.1197774,0.0060714,-0.5255108,0.8328068,,0.4006502,0.0208879
Chemistry,1969,0.3388506,0.3220863,-0.2740343,1.003331,,0.4075119,0.0210685
Chemistry,1970,0.2697003,0.2442632,-0.4296746,0.8894999,,0.4143274,0.0212302
Chemistry,1971,0.2514688,0.1128269,-0.367391,0.7691882,,0.4210924,0.0213699
Chemistry,1972,0.2149149,0.0773371,-0.5422164,0.8080766,,0.4278022,0.0214851
Chemistry,1973,0.1000395,-0.0145958,-0.5633278,0.7374529,,0.4344524,0.0215737
Chemistry,1974,0.6635981,0.3953295,-0.1047798,1.389523,,0.4410383,0.0216339
Chemistry,1975,0.444793,0.2481493,-0.2106613,0.9445676,,0.4475557,0.0216643
Chemistry,1976,0.3634085,0.2667003,-0.2290908,0.8005744,,0.4539997,0.0216646
Chemistry,1977,0.2843386,0.2000674,-0.4443651,0.9535692,,0.460366,0.0216345
Chemistry,1978,0.3193756,0.2395753,-0.2878588,0.8741912,,0.4666499,0.0215751
Chemistry,1979,0.3771821,0.2028908,-0.2334467,0.9827405,,0.472847,0.0214882
Chemistry,1980,0.656176,0.5105438,-0.0716684,1.30689,,0.4789526,0.0213765
Chemistry,1981,0.1987565,0.0679115,-0.6696147,0.975253,,0.4849622,0.0212445
Chemistry,1982,0.2741368,0.1136289,-0.4826791,0.8624344,,0.4908712,0.0210977
Chemistry,1983,0.4345207,0.2678581,-0.1399741,1.040483,,0.496675,0.0209438
Chemistry,1984,0.6183593,0.5405098,-0.1121546,1.248142,,0.5023692,0.0207922
Chemistry,1985,0.8380682,0.7395396,0.0995385,1.324883,,0.5079489,0.0206548
Chemistry,1986,0.9602351,0.7071511,0.0813793,1.423949,,0.5134098,0.0205458
Chemistry,1987,0.7781897,0.5780041,-0.0695891,1.516405,,0.5187472,0.0204819
Chemistry,1988,1.25402,1.075807,0.3063618,2.455468,,0.5239564,0.0204825
Chemistry,1989,1.013583,0.9514699,0.1943003,1.82139,,0.5290328,0.0205691
Chemistry,1990,1.184666,1.07635,0.1623395,1.931042,,0.533972,0.0207648
Chemistry,1991,1.624652,1.462069,0.4378866,2.487837,,0.5387692,0.0210933
Chemistry,1992,0.9999163,0.766816,0.1018299,1.879658,,0.5434197,0.0215778
Chemistry,1993,1.480111,1.237435,0.0986071,2.156975,,0.5479191,0.0222399
Chemistry,1994,0.5859982,0.5206162,-0.1112326,1.198387,,0.5522626,0.0230981
Chemistry,1995,1.274754,1.054713,0.0508662,2.015247,,0.5564456,0.0241671
Chemistry,1996,1.196683,1.043961,0.0733018,2.016092,,0.5604634,0.0254576
Chemistry,1997,0.7086067,0.5599754,-0.0935387,1.410304,,0.5643114,0.0269763
Chemistry,1998,0.3854942,0.0826346,-0.568073,1.193316,,0.5679851,0.0287264
Chemistry,1999,0.1548946,0.0223029,-0.3488065,0.4906138,,0.5714795,0.0307085
Chemistry,2000,0.216989,0.0166966,-0.6353114,0.7723017,,0.5747901,0.0329213
Chemistry,2001,0.4550733,0.2468981,-0.392126,1.120194,,0.5779123,0.0353626
Chemistry,2002,-0.0392612,-0.2309539,-0.5837418,0.2517373,,0.5808414,0.0380295
Chemistry,2003,-0.2026421,-0.4050733,-0.8063456,0.1753954,,0.5835726,0.040919
Chemistry,2004,-0.2078074,-0.3673534,-0.6791971,0.1381333,,0.5861012,0.0440287
Chemistry,2005,0.0648189,-0.4248152,-0.678205,0.0555692,,0.5884227,0.0473562
Chemistry,2006,-0.8332062,-0.8332062,-1.130754,-0.5356589,,0.5905322,0.0508999
Medicine,1900,-0.2897532,-0.5357701,-0.8536996,-0.1648523,,-0.164358,0.0504818
Medicine,1901,-0.1537135,-0.3201913,-0.600575,0.3807679,,-0.1536352,0.0469393
Medicine,1902,-0.3206705,-0.4669618,-0.782951,-0.0456429,,-0.1432413,0.0436041
Medicine,1903,-0.2793242,-0.4236357,-0.8595153,0.1212137,,-0.133169,0.0404762
Medicine,1904,0.0124998,0.1170759,-0.5452397,0.6138127,,-0.1234114,0.0375561
Medicine,1905,-0.0560227,-0.1960796,-0.5152789,0.2599195,,-0.1139611,0.0348445
Medicine,1906,-0.203298,-0.3748794,-0.8601601,0.3530417,,-0.1048113,0.0323427
Medicine,1907,-0.2078793,-0.3782722,-0.9462485,0.0761088,,-0.0959548,0.0300521
Medicine,1908,0.1061136,-0.2369387,-0.7457029,0.7079089,,-0.0873846,0.0279739
Medicine,1909,-0.0572874,-0.3170276,-0.4838843,0.100114,,-0.0790937,0.026109
Medicine,1910,0.033069,-0.3795748,-0.8109097,0.4830951,,-0.0710754,0.0244576
Medicine,1911,0.0549219,-0.2242642,-0.7391564,0.2906281,,-0.0633226,0.0230181
Medicine,1912,0.0144629,-0.0723146,-0.6639798,0.3878694,,-0.0558284,0.0217865
Medicine,1913,-0.209814,-0.410139,-0.6737244,0.0643148,,-0.0485862,0.0207565
Medicine,1914,-0.1747615,-0.425207,-0.8380293,0.1252228,,-0.0415892,0.0199178
Medicine,1915,0.0629614,-0.2885728,-0.8132505,0.4984439,,-0.0348305,0.019257
Medicine,1916,-0.3542198,-0.7432291,-1.059497,0.205574,,-0.0283036,0.0187571
Medicine,1917,-0.1587361,-0.3010105,-0.7713395,0.2869006,,-0.0220016,0.0183991
Medicine,1918,-0.0627349,-0.3125342,-0.882852,0.5999744,,-0.0159181,0.0181618
Medicine,1919,-0.156359,-0.398776,-0.88361,0.086058,,-0.0100465,0.0180239
Medicine,1920,-0.0518035,-0.3328376,-0.7213639,0.1851976,,-0.0043801,0.0179647
Medicine,1921,-0.0580686,-0.2001515,-0.5708025,0.2940498,,0.0010876,0.0179648
Medicine,1922,-0.1863979,-0.4564549,-0.8967651,0.1306254,,0.0063629,0.0180068
Medicine,1923,-0.0160701,-0.3053316,-0.6066456,0.3977346,,0.0114524,0.0180757
Medicine,1924,-0.1761683,-0.4528428,-0.9610205,0.2811916,,0.0163624,0.0181586
Medicine,1925,0.3126636,-0.0651999,-0.657927,0.8238907,,0.0210994,0.018245
Medicine,1926,0.059806,-0.1004742,-0.4991812,0.2982329,,0.0256696,0.0183264
Medicine,1927,0.2515486,-0.1852061,-0.5998466,0.9205019,,0.0300794,0.0183964
Medicine,1928,0.6087405,0.2309953,-0.3804629,1.046273,,0.034335,0.0184498
Medicine,1929,0.1309826,-0.2020476,-0.6200771,0.7733547,,0.0384427,0.0184832
Medicine,1930,0.2746751,-0.0742743,-0.4946953,0.7665676,,0.0424086,0.0184941
Medicine,1931,0.2191404,-0.009794,-0.4994931,0.8471795,,0.0462389,0.0184812
Medicine,1932,0.2722352,-0.0278089,-0.5400794,0.704006,,0.0499398,0.0184441
